"Column Name","Label"
"S1901_C03_015M","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C03_015MA","Annotation of Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C04_015E","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C04_015EA","Annotation of Nonfamily households!!Estimate!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C04_015M","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C04_015MA","Annotation of Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Family income in the past 12 months"
"S1901_C01_016E","Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C01_016M","Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C01_016MA","Annotation of Households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C01_016EA","Annotation of Households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C02_016E","Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C02_016M","Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C02_016MA","Annotation of Families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C02_016EA","Annotation of Families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C03_016E","Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C03_016EA","Annotation of Married-couple families!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C03_016M","Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C03_016MA","Annotation of Married-couple families!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C04_016E","Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C04_016EA","Annotation of Nonfamily households!!Estimate!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C04_016M","Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
"S1901_C04_016MA","Annotation of Nonfamily households!!Margin of Error!!PERCENT IMPUTED!!Nonfamily income in the past 12 months"
