"Column Name","Label"
"S1901_C02_006M","Families!!Margin of Error!!$35,000 to $49,999"
"S1901_C02_006MA","Annotation of Families!!Margin of Error!!$35,000 to $49,999"
"S1901_C02_006EA","Annotation of Families!!Estimate!!$35,000 to $49,999"
"S1901_C03_006E","Married-couple families!!Estimate!!$35,000 to $49,999"
"S1901_C03_006M","Married-couple families!!Margin of Error!!$35,000 to $49,999"
"S1901_C03_006MA","Annotation of Married-couple families!!Margin of Error!!$35,000 to $49,999"
"S1901_C03_006EA","Annotation of Married-couple families!!Estimate!!$35,000 to $49,999"
"S1901_C04_006E","Nonfamily households!!Estimate!!$35,000 to $49,999"
"S1901_C04_006EA","Annotation of Nonfamily households!!Estimate!!$35,000 to $49,999"
"S1901_C04_006M","Nonfamily households!!Margin of Error!!$35,000 to $49,999"
"S1901_C04_006MA","Annotation of Nonfamily households!!Margin of Error!!$35,000 to $49,999"
"S1901_C01_007E","Households!!Estimate!!$50,000 to $74,999"
"S1901_C01_007M","Households!!Margin of Error!!$50,000 to $74,999"
"S1901_C01_007MA","Annotation of Households!!Margin of Error!!$50,000 to $74,999"
"S1901_C01_007EA","Annotation of Households!!Estimate!!$50,000 to $74,999"
"S1901_C02_007E","Families!!Estimate!!$50,000 to $74,999"
"S1901_C02_007M","Families!!Margin of Error!!$50,000 to $74,999"
"S1901_C02_007MA","Annotation of Families!!Margin of Error!!$50,000 to $74,999"
"S1901_C02_007EA","Annotation of Families!!Estimate!!$50,000 to $74,999"
"S1901_C03_007E","Married-couple families!!Estimate!!$50,000 to $74,999"
"S1901_C03_007M","Married-couple families!!Margin of Error!!$50,000 to $74,999"
"S1901_C03_007MA","Annotation of Married-couple families!!Margin of Error!!$50,000 to $74,999"
"S1901_C03_007EA","Annotation of Married-couple families!!Estimate!!$50,000 to $74,999"
"S1901_C04_007E","Nonfamily households!!Estimate!!$50,000 to $74,999"
"S1901_C04_007M","Nonfamily households!!Margin of Error!!$50,000 to $74,999"
"S1901_C04_007MA","Annotation of Nonfamily households!!Margin of Error!!$50,000 to $74,999"
"S1901_C04_007EA","Annotation of Nonfamily households!!Estimate!!$50,000 to $74,999"
"S1901_C01_008E","Households!!Estimate!!$75,000 to $99,999"
"S1901_C01_008EA","Annotation of Households!!Estimate!!$75,000 to $99,999"
"S1901_C01_008M","Households!!Margin of Error!!$75,000 to $99,999"
"S1901_C01_008MA","Annotation of Households!!Margin of Error!!$75,000 to $99,999"
"S1901_C02_008E","Families!!Estimate!!$75,000 to $99,999"
"S1901_C02_008EA","Annotation of Families!!Estimate!!$75,000 to $99,999"
"S1901_C02_008M","Families!!Margin of Error!!$75,000 to $99,999"
"S1901_C02_008MA","Annotation of Families!!Margin of Error!!$75,000 to $99,999"
"S1901_C03_008E","Married-couple families!!Estimate!!$75,000 to $99,999"
"S1901_C03_008M","Married-couple families!!Margin of Error!!$75,000 to $99,999"
"S1901_C03_008MA","Annotation of Married-couple families!!Margin of Error!!$75,000 to $99,999"
"S1901_C03_008EA","Annotation of Married-couple families!!Estimate!!$75,000 to $99,999"
"S1901_C04_008E","Nonfamily households!!Estimate!!$75,000 to $99,999"
"S1901_C04_008EA","Annotation of Nonfamily households!!Estimate!!$75,000 to $99,999"
"S1901_C04_008M","Nonfamily households!!Margin of Error!!$75,000 to $99,999"
"S1901_C04_008MA","Annotation of Nonfamily households!!Margin of Error!!$75,000 to $99,999"
"S1901_C01_009E","Households!!Estimate!!$100,000 to $149,999"
"S1901_C01_009EA","Annotation of Households!!Estimate!!$100,000 to $149,999"
"S1901_C01_009M","Households!!Margin of Error!!$100,000 to $149,999"
"S1901_C01_009MA","Annotation of Households!!Margin of Error!!$100,000 to $149,999"
"S1901_C02_009E","Families!!Estimate!!$100,000 to $149,999"
"S1901_C02_009EA","Annotation of Families!!Estimate!!$100,000 to $149,999"
"S1901_C02_009M","Families!!Margin of Error!!$100,000 to $149,999"
"S1901_C02_009MA","Annotation of Families!!Margin of Error!!$100,000 to $149,999"
"S1901_C03_009E","Married-couple families!!Estimate!!$100,000 to $149,999"
"S1901_C03_009EA","Annotation of Married-couple families!!Estimate!!$100,000 to $149,999"
"S1901_C03_009M","Married-couple families!!Margin of Error!!$100,000 to $149,999"
"S1901_C03_009MA","Annotation of Married-couple families!!Margin of Error!!$100,000 to $149,999"
"S1901_C04_009E","Nonfamily households!!Estimate!!$100,000 to $149,999"
"S1901_C04_009EA","Annotation of Nonfamily households!!Estimate!!$100,000 to $149,999"
"S1901_C04_009M","Nonfamily households!!Margin of Error!!$100,000 to $149,999"
"S1901_C04_009MA","Annotation of Nonfamily households!!Margin of Error!!$100,000 to $149,999"
"S1901_C01_010E","Households!!Estimate!!$150,000 to $199,999"
"S1901_C01_010M","Households!!Margin of Error!!$150,000 to $199,999"
"S1901_C01_010MA","Annotation of Households!!Margin of Error!!$150,000 to $199,999"
"S1901_C01_010EA","Annotation of Households!!Estimate!!$150,000 to $199,999"
"S1901_C02_010E","Families!!Estimate!!$150,000 to $199,999"
"S1901_C02_010M","Families!!Margin of Error!!$150,000 to $199,999"
"S1901_C02_010MA","Annotation of Families!!Margin of Error!!$150,000 to $199,999"
"S1901_C02_010EA","Annotation of Families!!Estimate!!$150,000 to $199,999"
"S1901_C03_010E","Married-couple families!!Estimate!!$150,000 to $199,999"
"S1901_C03_010EA","Annotation of Married-couple families!!Estimate!!$150,000 to $199,999"
"S1901_C03_010M","Married-couple families!!Margin of Error!!$150,000 to $199,999"
"S1901_C03_010MA","Annotation of Married-couple families!!Margin of Error!!$150,000 to $199,999"
"S1901_C04_010E","Nonfamily households!!Estimate!!$150,000 to $199,999"
"S1901_C04_010EA","Annotation of Nonfamily households!!Estimate!!$150,000 to $199,999"
