GEO_ID,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21
28021,24150,21924,24078,23689,23917,23259,25000,24601,26732,29338,32268,31305
28023,29103,31059,31831,31362,31478,35993,36441,37626,39246,43207,38631,40838
28025,31727,32919,31228,30764,32844,31669,33142,34118,35121,31833,33209,35638
28027,24726,26050,25574,26407,27735,28851,28217,28728,30009,29121,30761,31312
28029,36637,38154,36645,35421,35199,35130,34738,38046,40361,42151,44252,46530
28031,32456,31127,32345,33381,32162,31631,31684,36471,35931,38178,32917,40233
28033,59418,59734,58851,58505,58995,58278,60111,62595,65169,67038,69990,73460
28035,34448,35805,35459,36726,36538,36416,37017,39555,40675,39840,42298,45780
28037,33324,33250,31819,32372,35995,38170,40081,42388,40810,40219,39066,40479
28039,45492,45365,46263,43958,42472,44258,47313,47640,48319,47292,47044,47385
28041,40828,40404,38836,36888,37412,40176,40069,48029,49447,49677,47033,49581
28043,32901,33123,35912,34129,33067,31779,33026,34876,36877,40122,39952,40808
28045,44494,42591,43727,44522,44069,43355,46542,47518,47543,48119,54860,58196
28047,45668,44550,43593,43124,42285,41722,43095,44684,45566,47894,48547,51590
28049,39215,39290,38152,37626,38021,37324,38773,41011,43005,44625,45380,46179
28051,21375,22259,22335,22325,21399,20732,20800,20330,21093,21504,24074,24958
28053,25131,25730,24783,23600,24387,23216,23442,26188,28507,28962,28628,30327
28055,21360,22396,24474,24767,29583,23491,24306,25609,25776,24208,28333,17109
28057,37588,37769,36235,36073,36740,35004,35380,38358,40510,44567,47649,53510
28059,47906,49620,49750,48943,49145,48406,49158,50274,51142,51657,53726,55107
28061,30177,28914,30998,31170,32261,31578,34993,35271,35931,35872,37877,39992
28063,24304,20375,20281,26028,23480,20743,23773,21779,20188,25019,29524,29205
28065,25986,25842,27201,27186,27063,26279,26429,26736,30083,32116,32214,34771
28067,36017,37643,38233,38074,38044,37143,37846,38656,41263,41775,43391,43659
28069,25649,25584,27471,29003,30206,30056,29925,27016,28176,31103,30735,37667
28071,39080,41166,42688,43328,41343,44643,43162,45019,47132,50272,53318,54720
28073,48048,50075,50743,51154,51724,52035,53888,56129,58188,60328,61649,63925
28075,33926,35420,36814,36203,37165,38132,38399,41340,41704,42534,42922,43301
28077,35593,37000,38364,38393,37477,35634,38155,40432,42290,41914,36239,39443
28079,31986,32537,30862,32521,32953,33452,32657,35578,33482,37096,36708,39660
28081,39049,41150,41242,42074,43240,42784,43224,45985,47978,50559,55861,60708
28083,22020,22353,23659,24480,24475,24233,25356,25210,26052,26735,30077,30182
28085,38405,38438,37176,36498,35502,36473,36250,37308,40355,42606,41355,43926
28087,37607,37626,37508,37868,38672,40239,41219,43198,45355,50441,48170,49660
28089,59585,59730,60195,59904,63156,64376,65924,68600,71690,71824,71621,74688
28091,31332,32117,31865,29400,29010,30668,30914,30998,31446,32090,31629,34286
