"","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"obesity",30.5,30.5,30.5,31.35,32.2,33.25,34.3,34,33.7,34.7,35.7,35.3,34.9,36.3,37.7,38.65,39.6,41,42.4,43.8,43.8
"severeObesity",4.7,4.9,5.1,4.95,4.8,5.35,5.9,5.8,5.7,6,6.3,6.35,6.4,7.05,7.7,7.7,7.7,8.45,9.2,9.95,9.95
